,Company,Model,Year,Price in Lak,Fuel,Kilometer,City,EMIstarts
210,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
211,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
212,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
213,MINI,Cooper,2021,,Petrol,"11,725",Mumbai,"₹69,748"
214,Volkswagen,Ameo Highline1,2018,6.9,Diesel,"74,290",Pune,"₹11,458"
215,Maruti,Suzuki Celerio,2022,5.95,Petrol,"12,290",Pune,"₹9,880"
216,Maruti,Suzuki Wagon,2018,4.75,CNG,"89,739",Pune,"₹7,888"
217,Honda,City VX,2016,7.9,Petrol,"68,085",Pune,"₹13,119"
218,Maruti,Suzuki Vitara,2019,8.7,Diesel,"44,091",Pune,"₹14,447"
219,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
220,Hyundai,Verna Fluidic,2013,5.7,Diesel,"79,592",Lucknow,"₹9,465"
221,Maruti,Suzuki Swift,2019,5.8,Petrol,"58,595",Delhi,"₹9,631"
222,Hyundai,Grand i10,2018,4.75,Petrol,"40,699",Lucknow,"₹7,888"
223,Renault,Kwid RXT,2021,4.15,Petrol,"3,436",Kanpur,"₹6,891"
224,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
225,MG,Hector Sharp,2019,17.9,Petrol,"42,046",Gurgaon,
226,BMW,5 Series,2011,12.95,Diesel,"56,000",Mumbai,
227,MG,Gloster Savvy,2022,,Diesel,"1,175",Hyderabad,"₹78,051"
228,Audi,A5 Sportback,2018,38.9,Diesel,"32,001",Vadodara,"₹64,600"
229,Maruti,Suzuki Wagon,2022,6.65,CNG,"4,000",Delhi,"₹11,043"
230,Volkswagen,Ameo Comfortline,2017,5.75,Diesel,"69,525",Ranga Reddy,"₹9,548"
231,Honda,Jazz VX,2015,5.25,Petrol,"53,261",Mumbai,"₹8,718"
232,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
233,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
234,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
235,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
236,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
237,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
238,Hyundai,Grand i10,2018,4.75,Petrol,"40,699",Lucknow,"₹7,888"
239,Maruti,Suzuki Baleno,2018,8.45,Petrol,"21,369",Bangalore,"₹14,032"
240,Maruti,Suzuki Swift,2020,7.59,Petrol,"50,670",Bangalore,"₹12,604"
241,Ford,EcoSport Titanium,2017,7.49,Petrol,"52,295",Bangalore,"₹12,438"
242,Maruti,Suzuki Swift,2018,6.99,Petrol,"22,952",Bangalore,"₹11,608"
243,Hyundai,Creta SX,2016,10.49,Petrol,"62,355",Bangalore,"₹17,420"
244,Hyundai,Elite i20,2019,7.99,Petrol,"61,897",Bangalore,"₹13,268"
245,Honda,Jazz S,2015,5.98,Petrol,"34,279",Bangalore,"₹9,930"
246,Tata,Harrier XZ,2019,16.55,Diesel,"20,936",Bangalore,"₹27,484"
247,Maruti,Suzuki Celerio,2016,4.79,Petrol,"57,076",Bangalore,"₹7,954"
248,Ford,Endeavour Trend,2016,23.99,Diesel,"97,593",Bangalore,"₹39,839"
249,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
250,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
251,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
252,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
253,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
254,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
255,BMW,X3 xDrive,2018,,Diesel,"63,584",Pune,"₹79,712"
256,Jeep,Compass Limited,2017,13.75,Petrol,"54,351",Mumbai,"₹22,834"
257,Maruti,Suzuki Ertiga,2016,8.25,Diesel,"67,000",Navi Mumbai,"₹13,700"
258,Maruti,Suzuki S,2016,6.5,Diesel,"75,000",Kanpur,
259,Hyundai,Creta 1,2016,10.35,Diesel,"77,158",Bangalore,
260,Mahindra,XUV500 W11,2018,15.95,Diesel,"54,154",Lucknow,
261,Maruti,Suzuki Ertiga,2020,10.85,Petrol,"5,000",Mumbai,"₹18,018"
262,Tata,Tiago Revotron,2020,5.25,Petrol,"34,000",Mumbai,"₹8,718"
263,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
264,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
265,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
266,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
267,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
268,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
269,Honda,City VX,2016,7.9,Petrol,"68,085",Pune,"₹13,119"
270,Volkswagen,Ameo Highline1,2018,6.9,Diesel,"74,290",Pune,"₹11,458"
271,Maruti,Suzuki Celerio,2022,5.95,Petrol,"12,290",Pune,"₹9,880"
272,Maruti,Suzuki Wagon,2018,4.75,CNG,"89,739",Pune,"₹7,888"
273,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
274,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
275,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
276,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
277,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
278,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
279,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
280,MINI,Cooper,2021,,Petrol,"11,725",Mumbai,"₹69,748"
281,Maruti,Suzuki Vitara,2019,8.7,Diesel,"44,091",Pune,"₹14,447"
282,Maruti,Suzuki Swift,2019,5.8,Petrol,"58,595",Delhi,"₹9,631"
283,Hyundai,Verna Fluidic,2013,5.7,Diesel,"79,592",Lucknow,"₹9,465"
284,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
285,Renault,Kwid RXT,2021,4.15,Petrol,"3,436",Kanpur,"₹6,891"
286,Hyundai,Verna 1,2018,7.5,Petrol,"16,339",Kolkata,"₹12,455"
287,Tata,Zest XM,2018,4.99,Diesel,"51,478",Ranchi,"₹8,286"
288,Audi,A3 35,2018,24.75,Petrol,"24,500",Mumbai,"₹41,101"
289,Renault,Duster 110,2014,4.25,Diesel,"74,000",Lucknow,"₹7,057"
290,Renault,Triber RXZ,2020,5.81,Petrol,"17,396",Kolkata,"₹9,648"
291,Hyundai,Venue SX,2020,,Petrol,"23,000",Haldwani,
292,Volkswagen,Virtus Topline,2022,17.5,Petrol,"7,500",Hyderabad,"₹29,061"
293,Skoda,Octavia R,2019,,Petrol,"54,000",Chennai,"₹46,498"
294,Audi,Q3 35,2015,18.5,Diesel,"72,500",Mumbai,"₹30,722"
295,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
296,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
297,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
298,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
299,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
300,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
301,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
302,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
303,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
304,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
305,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
306,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
307,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
308,Honda,City VX,2016,7.9,Petrol,"68,085",Pune,"₹13,119"
309,Volkswagen,Ameo Highline1,2018,6.9,Diesel,"74,290",Pune,"₹11,458"
310,Maruti,Suzuki Celerio,2022,5.95,Petrol,"12,290",Pune,"₹9,880"
311,Maruti,Suzuki Wagon,2018,4.75,CNG,"89,739",Pune,"₹7,888"
312,MINI,Cooper,2021,,Petrol,"11,725",Mumbai,"₹69,748"
313,Hyundai,Verna Fluidic,2013,5.7,Diesel,"79,592",Lucknow,"₹9,465"
314,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
315,Maruti,Suzuki Vitara,2019,8.7,Diesel,"44,091",Pune,"₹14,447"
316,Maruti,Suzuki Swift,2019,5.8,Petrol,"58,595",Delhi,"₹9,631"
317,Maruti,Suzuki Wagon,2015,3.85,Petrol,"55,488",Lucknow,"₹6,393"
318,Maruti,Suzuki Vitara,2017,6.7,Diesel,"78,184",Delhi,"₹11,126"
319,MG,Hector Sharp,2019,17.9,Petrol,"42,046",Gurgaon,
320,Maruti,Suzuki Swift,2018,5.8,Diesel,"28,851",Kolkata,"₹9,631"
321,Honda,City V,2018,,Petrol,"47,200",Kolkata,"₹11,624"
322,Mercedes,Benz GLE,2016,49.5,Diesel,"16,000",Delhi,"₹82,203"
323,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
324,Datsun,GO T,2019,3.45,Petrol,"60,969",Ranchi,"₹5,729"
325,Toyota,Commuter HiAce,2014,,Diesel,"65,000",Ludhiana,"₹51,480"
326,Hyundai,i10 Magna,2009,1.65,Petrol,"55,000",Lucknow,
327,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
328,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
329,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
330,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
331,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
332,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
333,MINI,Cooper,2021,,Petrol,"11,725",Mumbai,"₹69,748"
334,Honda,City VX,2016,7.9,Petrol,"68,085",Pune,"₹13,119"
335,Volkswagen,Ameo Highline1,2018,6.9,Diesel,"74,290",Pune,"₹11,458"
336,Maruti,Suzuki Celerio,2022,5.95,Petrol,"12,290",Pune,"₹9,880"
337,Maruti,Suzuki Wagon,2018,4.75,CNG,"89,739",Pune,"₹7,888"
338,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
339,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
340,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
341,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
342,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
343,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
344,Maruti,Suzuki Swift,2019,5.8,Petrol,"58,595",Delhi,"₹9,631"
345,Maruti,Suzuki Vitara,2019,8.7,Diesel,"44,091",Pune,"₹14,447"
346,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
347,Hyundai,Verna Fluidic,2013,5.7,Diesel,"79,592",Lucknow,"₹9,465"
348,Hyundai,Verna 1,2018,7.5,Petrol,"16,339",Kolkata,"₹12,455"
349,Maruti,Suzuki Wagon,2015,3.85,Petrol,"55,488",Lucknow,"₹6,393"
350,Maruti,Suzuki Celerio,2014,3.5,Petrol,"93,000",Panchkula,"₹5,812"
351,Honda,City V,2015,6.5,Petrol,"98,000",Panchkula,"₹10,794"
352,Skoda,Superb L,2021,34.9,Petrol,"14,500",Pune,"₹57,957"
353,Hyundai,Xcent SX,2014,5.45,Petrol,"58,247",Mumbai,"₹9,050"
354,Maruti,Suzuki Swift,2017,6.25,Diesel,"32,000",Mumbai,"₹10,379"
355,Maruti,Suzuki Alto,2012,2.6,Petrol,"99,203",Hyderabad,
356,BMW,3 Series,2017,24.5,Diesel,"53,000",Mohali,"₹40,686"
357,BMW,5 Series,2017,32.95,Diesel,"56,500",Mumbai,
358,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
359,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
360,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
361,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
362,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
363,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
364,Hyundai,Grand i10,2018,4.75,Petrol,"40,699",Lucknow,"₹7,888"
365,Maruti,Suzuki Baleno,2018,8.45,Petrol,"21,369",Bangalore,"₹14,032"
366,Maruti,Suzuki Swift,2020,7.59,Petrol,"50,670",Bangalore,"₹12,604"
367,Ford,EcoSport Titanium,2017,7.49,Petrol,"52,295",Bangalore,"₹12,438"
368,Maruti,Suzuki Swift,2018,6.99,Petrol,"22,952",Bangalore,"₹11,608"
369,Hyundai,Creta SX,2016,10.49,Petrol,"62,355",Bangalore,"₹17,420"
370,Hyundai,Elite i20,2019,7.99,Petrol,"61,897",Bangalore,"₹13,268"
371,Honda,Jazz S,2015,5.98,Petrol,"34,279",Bangalore,"₹9,930"
372,Tata,Harrier XZ,2019,16.55,Diesel,"20,936",Bangalore,"₹27,484"
373,Maruti,Suzuki Celerio,2016,4.79,Petrol,"57,076",Bangalore,"₹7,954"
374,Ford,Endeavour Trend,2016,23.99,Diesel,"97,593",Bangalore,"₹39,839"
375,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
376,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
377,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
378,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
379,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
380,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
381,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
382,Honda,City V,2017,,Petrol,"56,468",Ahmedabad,"₹13,285"
383,Hyundai,Grand i10,2016,4.5,Petrol,"53,300",Pune,"₹7,473"
384,Maruti,Suzuki Baleno,2017,,Petrol,"68,294",Jamshedpur,"₹9,964"
385,Audi,Q5 2,2016,,Diesel,"76,569",Bangalore,"₹51,480"
386,Maruti,Suzuki Eeco,2018,4.5,CNG,"65,307",Delhi,"₹7,473"
387,Hyundai,Verna 1,2017,5.49,Petrol,"37,591",Kolkata,"₹9,117"
388,BMW,7 Series,2012,27.5,Diesel,"41,000",Mumbai,
389,Audi,A6 2,2014,15.5,Diesel,"1,01",Ahmedabad,"₹25,740"
390,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
391,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
392,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
393,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
394,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
395,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
396,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
397,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
398,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
399,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
400,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
401,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
402,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
403,Honda,City VX,2016,7.9,Petrol,"68,085",Pune,"₹13,119"
404,Volkswagen,Ameo Highline1,2018,6.9,Diesel,"74,290",Pune,"₹11,458"
405,Maruti,Suzuki Celerio,2022,5.95,Petrol,"12,290",Pune,"₹9,880"
406,Maruti,Suzuki Wagon,2018,4.75,CNG,"89,739",Pune,"₹7,888"
407,MINI,Cooper,2021,,Petrol,"11,725",Mumbai,"₹69,748"
408,Hyundai,Verna Fluidic,2013,5.7,Diesel,"79,592",Lucknow,"₹9,465"
409,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
410,Maruti,Suzuki Vitara,2019,8.7,Diesel,"44,091",Pune,"₹14,447"
411,Maruti,Suzuki Swift,2019,5.8,Petrol,"58,595",Delhi,"₹9,631"
412,Maruti,Suzuki Wagon,2015,3.85,Petrol,"55,488",Lucknow,"₹6,393"
413,Maruti,Suzuki Vitara,2017,6.7,Diesel,"78,184",Delhi,"₹11,126"
